actual,predict,predict_prob
0,0,5.38046e-13
0,0,4.44271e-13
0,0,1.70241e-13
0,0,1.10394e-13
0,0,3.1756e-14
0,0,2.13005e-14
0,0,1.36731e-14
0,0,4.40291e-14
0,0,4.72485e-14
0,0,3.20647e-13
0,0,1.69814e-12
0,0,4.85413e-12
0,0,3.41288e-11
0,0,1.84818e-10
0,0,4.57288e-10
0,0,3.64511e-10
0,0,1.95184e-09
0,0,1.90596e-09
0,0,7.15542e-09
0,0,3.578e-08
0,0,1.39094e-07
0,0,5.34279e-07
0,0,1.09552e-06
0,0,4.30162e-07
0,0,1.47974e-06
0,0,1.37894e-07
0,0,1.05562e-07
0,0,2.34809e-07
0,0,1.17018e-07
0,0,6.89819e-07
0,0,1.54714e-07
0,0,9.67614e-07
0,0,4.16809e-06
0,0,0.000495993
0,0,0.00081128
0,0,0.0862219
1,0,0.271409
0,0,2.4193e-05
0,0,6.2061e-08
0,0,7.29861e-09
0,0,5.38572e-10
0,0,3.2592e-10
0,0,8.75657e-11
0,0,7.45437e-12
0,0,6.46415e-12
0,0,1.00797e-12
0,0,5.11504e-13
0,0,1.19151e-12
0,0,7.16757e-13
0,0,3.85736e-13
0,0,6.68307e-13
0,0,6.67366e-13
0,0,4.93912e-13
0,0,2.39393e-13
0,0,5.83932e-14
0,0,3.94095e-14
0,0,1.85939e-14
0,0,2.25185e-14
0,0,4.12444e-14
0,0,5.28371e-14
0,0,6.6161e-13
0,0,2.47717e-12
0,0,9.12014e-12
0,0,1.41027e-10
0,0,9.90437e-11
0,0,7.71676e-10
0,0,4.28428e-10
0,0,2.01237e-09
0,0,1.70401e-09
0,0,8.29238e-09
0,0,3.38018e-08
0,0,1.56983e-07
0,0,1.25036e-06
0,0,9.13901e-07
0,0,6.06577e-07
0,0,4.34682e-07
0,0,9.56069e-08
0,0,1.17094e-07
0,0,1.52166e-07
0,0,4.79146e-07
0,0,1.40137e-07
0,0,7.42611e-07
