@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
87,3137,1,89283,3000,0.967491,0.999681,0.033943,0.999681,0.966057,0.065656,0.96855,1.032142,0
88,3137,1,89282,3001,0.96748,0.999681,0.033943,0.999681,0.966057,0.065657,0.968539,1.032153,0
89,3137,1,89281,3002,0.96747,0.999681,0.033944,0.999681,0.966056,0.065658,0.968529,1.032165,0
90,3137,1,89280,3003,0.967459,0.999681,0.033944,0.999681,0.966056,0.065659,0.968518,1.032176,0
91,3137,1,89219,3064,0.966798,0.999681,0.033966,0.999681,0.966034,0.0657,0.967879,1.032858,0
92,3137,1,89218,3065,0.966787,0.999681,0.033967,0.999681,0.966033,0.065701,0.967869,1.032869,0
93,3137,1,89217,3066,0.966776,0.999681,0.033967,0.999681,0.966033,0.065702,0.967858,1.03288,0
94,3137,1,89216,3067,0.966765,0.999681,0.033967,0.999681,0.966033,0.065703,0.967848,1.032891,0
95,3137,1,89214,3069,0.966744,0.999681,0.033968,0.999681,0.966032,0.065704,0.967827,1.032913,0
96,3137,1,89143,3140,0.965974,0.999681,0.033994,0.999681,0.966006,0.065753,0.967083,1.033708,0
97,3137,1,89142,3141,0.965963,0.999681,0.033995,0.999681,0.966005,0.065753,0.967072,1.033719,0
98,3137,1,89141,3142,0.965953,0.999681,0.033995,0.999681,0.966005,0.065754,0.967062,1.033731,0
99,3137,1,89138,3145,0.96592,0.999681,0.033996,0.999681,0.966004,0.065756,0.96703,1.033764,0
100,3137,1,89137,3146,0.965909,0.999681,0.033997,0.999681,0.966003,0.065757,0.96702,1.033775,0
101,3137,1,89133,3150,0.965866,0.999681,0.033998,0.999681,0.966002,0.06576,0.966978,1.03382,0
102,3137,1,89094,3189,0.965443,0.999681,0.034012,0.999681,0.965988,0.065787,0.966569,1.034257,0
103,3137,1,89055,3228,0.965021,0.999681,0.034027,0.999681,0.965973,0.065813,0.96616,1.034695,0
104,3137,1,89010,3273,0.964533,0.999681,0.034043,0.999681,0.965957,0.065845,0.965689,1.0352,0
105,3137,1,88931,3352,0.963677,0.999681,0.034073,0.999681,0.965927,0.065899,0.964861,1.036088,0
106,3137,1,88884,3399,0.963168,0.999681,0.03409,0.999681,0.96591,0.065932,0.964368,1.036618,0
107,3137,1,88836,3447,0.962648,0.999681,0.034108,0.999681,0.965892,0.065965,0.963865,1.037159,0
108,3137,1,88795,3488,0.962203,0.999681,0.034123,0.999681,0.965877,0.065993,0.963436,1.037621,0
109,3137,1,88750,3533,0.961716,0.999681,0.03414,0.999681,0.96586,0.066025,0.962964,1.038129,0
110,3137,1,88711,3572,0.961293,0.999681,0.034154,0.999681,0.965846,0.066052,0.962555,1.03857,0
111,3137,1,88667,3616,0.960816,0.999681,0.034171,0.999681,0.965829,0.066082,0.962094,1.039068,0
112,3137,1,88621,3662,0.960318,0.999681,0.034188,0.999681,0.965812,0.066114,0.961612,1.039589,0
113,3137,1,88571,3712,0.959776,0.999681,0.034206,0.999681,0.965794,0.066149,0.961088,1.040156,0
114,3137,1,88570,3713,0.959765,0.999681,0.034207,0.999681,0.965793,0.06615,0.961078,1.040167,0
115,3137,1,88465,3818,0.958627,0.999681,0.034246,0.999681,0.965754,0.066223,0.959977,1.041359,0
116,3137,1,88418,3865,0.958118,0.999681,0.034264,0.999681,0.965736,0.066256,0.959485,1.041894,0
117,3137,1,88417,3866,0.958107,0.999681,0.034264,0.999681,0.965736,0.066257,0.959474,1.041905,0
