actual,predict,predict_prob
0,0,1.48058e-08
0,0,1.07988e-08
0,0,1.30075e-08
0,0,1.59025e-08
0,0,2.05807e-08
0,0,2.07407e-08
0,0,2.78987e-08
0,0,3.70814e-08
0,0,4.59007e-08
0,0,6.07533e-08
0,0,7.97973e-08
0,0,1.05479e-07
0,0,1.43962e-07
0,0,1.78593e-07
0,0,1.99377e-07
0,0,2.66884e-07
0,0,3.17592e-07
0,0,3.99238e-07
0,0,7.37231e-07
0,0,1.45221e-06
0,0,3.46516e-06
0,0,9.40155e-06
0,0,1.54109e-05
0,0,9.10481e-05
0,0,0.000665943
0,0,0.00349974
0,0,0.412621
0,1,0.997247
1,1,0.999945
