@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
87,3125,13,74691,17592,0.809369,0.995857,0.040159,0.995857,0.959841,0.077204,0.815502,1.221159,0
88,3125,13,74690,17593,0.809358,0.995857,0.040159,0.995857,0.959841,0.077205,0.815491,1.221174,0
89,3125,13,74684,17599,0.809293,0.995857,0.040162,0.995857,0.959838,0.077211,0.815428,1.221269,0
90,3125,13,74683,17600,0.809282,0.995857,0.040163,0.995857,0.959837,0.077212,0.815418,1.221284,0
91,3125,13,74682,17601,0.809271,0.995857,0.040163,0.995857,0.959837,0.077213,0.815408,1.2213,0
92,3125,13,74681,17602,0.809261,0.995857,0.040164,0.995857,0.959836,0.077214,0.815397,1.221316,0
93,3125,13,74680,17603,0.80925,0.995857,0.040165,0.995857,0.959835,0.077215,0.815387,1.221331,0
94,3125,13,74672,17611,0.809163,0.995857,0.040169,0.995857,0.959831,0.077222,0.815303,1.221457,0
95,3125,13,74670,17613,0.809141,0.995857,0.04017,0.995857,0.95983,0.077224,0.815282,1.221488,0
96,3125,13,74669,17614,0.809131,0.995857,0.04017,0.995857,0.95983,0.077225,0.815271,1.221504,0
97,3125,13,74668,17615,0.80912,0.995857,0.040171,0.995857,0.959829,0.077226,0.815261,1.22152,0
98,3125,13,74666,17617,0.809098,0.995857,0.040172,0.995857,0.959828,0.077228,0.81524,1.221551,0
99,3125,13,74665,17618,0.809087,0.995857,0.040172,0.995857,0.959828,0.077229,0.815229,1.221567,0
100,3125,13,74663,17620,0.809066,0.995857,0.040173,0.995857,0.959827,0.077231,0.815208,1.221598,0
101,3125,13,74662,17621,0.809055,0.995857,0.040174,0.995857,0.959826,0.077232,0.815198,1.221614,0
102,3125,13,74661,17622,0.809044,0.995857,0.040174,0.995857,0.959826,0.077233,0.815187,1.22163,0
103,3125,13,74660,17623,0.809033,0.995857,0.040175,0.995857,0.959825,0.077234,0.815177,1.221645,0
104,3125,13,74656,17627,0.80899,0.995857,0.040177,0.995857,0.959823,0.077238,0.815135,1.221708,0
105,3125,13,74655,17628,0.808979,0.995857,0.040177,0.995857,0.959823,0.077239,0.815125,1.221724,0
106,3125,13,74654,17629,0.808968,0.995857,0.040178,0.995857,0.959822,0.07724,0.815114,1.22174,0
107,3125,13,74653,17630,0.808957,0.995857,0.040178,0.995857,0.959822,0.077241,0.815104,1.221755,0
108,3125,13,74652,17631,0.808946,0.995857,0.040179,0.995857,0.959821,0.077242,0.815093,1.221771,0
109,3125,13,74651,17632,0.808936,0.995857,0.040179,0.995857,0.959821,0.077243,0.815083,1.221787,0
110,3125,13,74650,17633,0.808925,0.995857,0.04018,0.995857,0.95982,0.077243,0.815072,1.221803,0
111,3125,13,74649,17634,0.808914,0.995857,0.040181,0.995857,0.959819,0.077244,0.815062,1.221818,0
112,3125,13,74648,17635,0.808903,0.995857,0.040181,0.995857,0.959819,0.077245,0.815051,1.221834,0
113,3125,13,74647,17636,0.808892,0.995857,0.040182,0.995857,0.959818,0.077246,0.815041,1.22185,0
114,3125,13,74622,17661,0.808621,0.995857,0.040194,0.995857,0.959806,0.07727,0.814779,1.222243,0
115,3125,13,74621,17662,0.80861,0.995857,0.040195,0.995857,0.959805,0.077271,0.814768,1.222258,0
116,3125,13,74620,17663,0.8086,0.995857,0.040196,0.995857,0.959804,0.077272,0.814758,1.222274,0
117,3125,13,74619,17664,0.808589,0.995857,0.040196,0.995857,0.959804,0.077273,0.814747,1.22229,0
118,3125,13,74618,17665,0.808578,0.995857,0.040197,0.995857,0.959803,0.077274,0.814737,1.222305,0
119,3125,13,74612,17671,0.808513,0.995857,0.0402,0.995857,0.9598,0.07728,0.814674,1.2224,0
120,3125,13,74611,17672,0.808502,0.995857,0.0402,0.995857,0.9598,0.077281,0.814663,1.222416,0
121,3125,13,74606,17677,0.808448,0.995857,0.040203,0.995857,0.959797,0.077285,0.814611,1.222494,0
122,3125,13,74597,17686,0.80835,0.995857,0.040207,0.995857,0.959793,0.077294,0.814517,1.222636,0
123,3125,13,74596,17687,0.80834,0.995857,0.040208,0.995857,0.959792,0.077295,0.814506,1.222651,0
124,3125,13,74576,17707,0.808123,0.995857,0.040218,0.995857,0.959782,0.077314,0.814297,1.222966,0
125,3125,13,74575,17708,0.808112,0.995857,0.040219,0.995857,0.959781,0.077315,0.814286,1.222982,0
126,3125,13,74574,17709,0.808101,0.995857,0.040219,0.995857,0.959781,0.077316,0.814276,1.222998,0
127,3125,13,74573,17710,0.80809,0.995857,0.04022,0.995857,0.95978,0.077317,0.814265,1.223013,0
128,3125,13,74572,17711,0.808079,0.995857,0.04022,0.995857,0.95978,0.077318,0.814255,1.223029,0
129,3125,13,74566,17717,0.808014,0.995857,0.040223,0.995857,0.959777,0.077324,0.814192,1.223124,0
130,3125,13,74565,17718,0.808004,0.995857,0.040224,0.995857,0.959776,0.077325,0.814181,1.223139,0
131,3125,13,74562,17721,0.807971,0.995857,0.040226,0.995857,0.959774,0.077328,0.81415,1.223187,0
132,3125,13,74561,17722,0.80796,0.995857,0.040226,0.995857,0.959774,0.077329,0.814139,1.223202,0
133,3125,13,74558,17725,0.807928,0.995857,0.040228,0.995857,0.959772,0.077331,0.814108,1.22325,0
134,3125,13,74557,17726,0.807917,0.995857,0.040228,0.995857,0.959772,0.077332,0.814098,1.223265,0
135,3125,13,74555,17728,0.807895,0.995857,0.040229,0.995857,0.959771,0.077334,0.814077,1.223297,0
136,3125,13,74485,17798,0.807137,0.995857,0.040265,0.995857,0.959735,0.077401,0.813343,1.2244,0
137,3125,13,74484,17799,0.807126,0.995857,0.040266,0.995857,0.959734,0.077402,0.813332,1.224416,0
138,3125,13,74483,17800,0.807115,0.995857,0.040266,0.995857,0.959734,0.077403,0.813322,1.224432,0
139,3124,14,74483,17800,0.807115,0.995539,0.040254,0.995539,0.959746,0.077379,0.813312,1.224056,0
140,3124,14,74481,17802,0.807093,0.995539,0.040255,0.995539,0.959745,0.077381,0.813291,1.224087,0
141,3124,14,74480,17803,0.807083,0.995539,0.040256,0.995539,0.959744,0.077382,0.81328,1.224103,0
142,3124,14,74479,17804,0.807072,0.995539,0.040256,0.995539,0.959744,0.077383,0.81327,1.224119,0
143,3124,14,74477,17806,0.80705,0.995539,0.040257,0.995539,0.959743,0.077385,0.813249,1.22415,0
144,3124,14,74476,17807,0.807039,0.995539,0.040258,0.995539,0.959742,0.077386,0.813238,1.224166,0
145,3124,14,74475,17808,0.807028,0.995539,0.040258,0.995539,0.959742,0.077387,0.813228,1.224182,0
146,3124,14,74474,17809,0.807018,0.995539,0.040259,0.995539,0.959741,0.077388,0.813217,1.224198,0
147,3124,14,74472,17811,0.806996,0.995539,0.04026,0.995539,0.95974,0.07739,0.813196,1.224229,0
148,3124,14,74471,17812,0.806985,0.995539,0.04026,0.995539,0.95974,0.077391,0.813186,1.224245,0
149,3124,14,74461,17822,0.806877,0.995539,0.040266,0.995539,0.959734,0.0774,0.813081,1.224403,0
150,3124,14,74456,17827,0.806822,0.995539,0.040268,0.995539,0.959732,0.077405,0.813029,1.224482,0
151,3124,14,74453,17830,0.80679,0.995539,0.04027,0.995539,0.95973,0.077408,0.812997,1.224529,0
152,3124,14,74452,17831,0.806779,0.995539,0.04027,0.995539,0.95973,0.077409,0.812987,1.224545,0
153,3124,14,74451,17832,0.806768,0.995539,0.040271,0.995539,0.959729,0.07741,0.812976,1.224561,0
154,3124,14,74450,17833,0.806757,0.995539,0.040271,0.995539,0.959729,0.077411,0.812966,1.224576,0
155,3124,14,74434,17849,0.806584,0.995539,0.04028,0.995539,0.95972,0.077426,0.812798,1.224829,0
156,3124,14,74432,17851,0.806562,0.995539,0.040281,0.995539,0.959719,0.077428,0.812777,1.224861,0
157,3124,14,74431,17852,0.806552,0.995539,0.040281,0.995539,0.959719,0.077429,0.812767,1.224876,0
158,3124,14,74430,17853,0.806541,0.995539,0.040282,0.995539,0.959718,0.07743,0.812756,1.224892,0
159,3124,14,74428,17855,0.806519,0.995539,0.040283,0.995539,0.959717,0.077432,0.812735,1.224924,0
160,3124,14,74425,17858,0.806487,0.995539,0.040284,0.995539,0.959716,0.077435,0.812704,1.224971,0
161,3124,14,74424,17859,0.806476,0.995539,0.040285,0.995539,0.959715,0.077436,0.812693,1.224987,0
162,3124,14,74423,17860,0.806465,0.995539,0.040285,0.995539,0.959715,0.077437,0.812683,1.225003,0
163,3124,14,74422,17861,0.806454,0.995539,0.040286,0.995539,0.959714,0.077438,0.812672,1.225019,0
164,3124,14,74421,17862,0.806443,0.995539,0.040286,0.995539,0.959714,0.077439,0.812662,1.225034,0
165,3124,14,74420,17863,0.806432,0.995539,0.040287,0.995539,0.959713,0.07744,0.812651,1.22505,0
166,3124,14,74419,17864,0.806422,0.995539,0.040287,0.995539,0.959713,0.077441,0.812641,1.225066,0
167,3124,14,74418,17865,0.806411,0.995539,0.040288,0.995539,0.959712,0.077442,0.81263,1.225082,0
