@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
125,92184,165,1135,2003,0.361695,0.998213,0.987837,0.998213,0.012163,0.992998,0.977295,1.021404,0.250001
126,92183,166,1135,2003,0.361695,0.998202,0.987837,0.998202,0.012163,0.992993,0.977285,1.021404,0.250001
127,92182,167,1134,2004,0.361377,0.998192,0.987848,0.998192,0.012152,0.992993,0.977264,1.021415,0.250001
128,92181,168,1134,2004,0.361377,0.998181,0.987848,0.998181,0.012152,0.992987,0.977253,1.021414,0.250002
129,92163,186,1118,2020,0.356278,0.997986,0.988015,0.997986,0.011985,0.992975,0.976897,1.021587,0.250002
130,92147,202,1104,2034,0.351816,0.997813,0.988161,0.997813,0.011839,0.992963,0.976583,1.021738,0.285715
131,92146,203,1104,2034,0.351816,0.997802,0.988161,0.997802,0.011839,0.992958,0.976573,1.021738,0.285715
132,92144,205,1102,2036,0.351179,0.99778,0.988182,0.99778,0.011818,0.992958,0.976531,1.02176,0.300001
133,92142,207,1102,2036,0.351179,0.997759,0.988182,0.997759,0.011818,0.992947,0.97651,1.02176,0.333334
134,92139,210,1101,2037,0.35086,0.997726,0.988192,0.997726,0.011808,0.992936,0.976468,1.02177,0.333335
135,91944,405,926,2212,0.295092,0.995614,0.990029,0.995614,0.009971,0.992814,0.972593,1.02367,0.333335
136,91861,488,817,2321,0.260357,0.994716,0.991185,0.994716,0.008815,0.992947,0.970582,1.024865,0.344828
137,91860,489,817,2321,0.260357,0.994705,0.991184,0.994705,0.008816,0.992942,0.970572,1.024865,0.400001
138,91847,502,813,2325,0.259082,0.994564,0.991226,0.994564,0.008774,0.992892,0.970394,1.024908,0.400001
139,91839,510,812,2326,0.258764,0.994477,0.991236,0.994477,0.008764,0.992854,0.9703,1.024918,0.428572
140,91839,510,810,2328,0.258126,0.994477,0.991257,0.994477,0.008743,0.992865,0.970279,1.02494,0.428572
141,91838,511,810,2328,0.258126,0.994467,0.991257,0.994467,0.008743,0.992859,0.970268,1.02494,0.5
142,91808,541,793,2345,0.252709,0.994142,0.991436,0.994142,0.008564,0.992787,0.969776,1.025125,0.5
143,91805,544,792,2346,0.25239,0.994109,0.991447,0.994109,0.008553,0.992776,0.969734,1.025136,0.5
144,91771,578,759,2379,0.241874,0.993741,0.991797,0.993741,0.008203,0.992768,0.969032,1.025498,0.555555
145,91770,579,759,2379,0.241874,0.99373,0.991797,0.99373,0.008203,0.992763,0.969022,1.025498,0.555555
146,91770,579,758,2380,0.241555,0.99373,0.991808,0.99373,0.008192,0.992768,0.969011,1.025509,0.571428
147,91769,580,758,2380,0.241555,0.993719,0.991808,0.993719,0.008192,0.992763,0.969001,1.025509,0.599999
148,91763,586,755,2383,0.240599,0.993655,0.991839,0.993655,0.008161,0.992746,0.968907,1.025542,0.599999
149,91756,593,751,2387,0.239324,0.993579,0.991882,0.993579,0.008118,0.992729,0.968792,1.025586,0.6
150,91756,593,750,2388,0.239006,0.993579,0.991892,0.993579,0.008108,0.992735,0.968781,1.025597,0.611111
151,91754,595,750,2388,0.239006,0.993557,0.991892,0.993557,0.008108,0.992724,0.96876,1.025597,0.666665
152,91445,904,643,2495,0.204908,0.990211,0.993018,0.990211,0.006982,0.991612,0.964404,1.02676,0.666665
153,90985,1364,477,2661,0.152008,0.98523,0.994785,0.98523,0.005215,0.989984,0.957848,1.028587,0.666666
154,90985,1364,475,2663,0.15137,0.98523,0.994806,0.98523,0.005194,0.989995,0.957827,1.02861,0.666666
155,90985,1364,471,2667,0.150096,0.98523,0.99485,0.98523,0.00515,0.990017,0.957785,1.028655,0.666666
156,90984,1365,471,2667,0.150096,0.985219,0.99485,0.985219,0.00515,0.990011,0.957774,1.028655,0.692307
157,90983,1366,471,2667,0.150096,0.985208,0.99485,0.985208,0.00515,0.990006,0.957764,1.028655,0.699999
158,90982,1367,471,2667,0.150096,0.985197,0.99485,0.985197,0.00515,0.99,0.957753,1.028655,0.714285
159,90981,1368,468,2670,0.14914,0.985187,0.994882,0.985187,0.005118,0.990011,0.957712,1.028688,0.714285
160,90981,1368,466,2672,0.148502,0.985187,0.994904,0.985187,0.005096,0.990022,0.957691,1.028711,0.749998
161,90958,1391,447,2691,0.142447,0.984938,0.99511,0.984938,0.00489,0.989997,0.957251,1.028923,0.749998
162,90920,1429,425,2713,0.135437,0.984526,0.995347,0.984526,0.004653,0.989907,0.956622,1.029169,0.749999
163,90919,1430,425,2713,0.135437,0.984515,0.995347,0.984515,0.004653,0.989902,0.956612,1.029169,0.749999
164,90917,1432,424,2714,0.135118,0.984494,0.995358,0.984494,0.004642,0.989896,0.95658,1.02918,0.777777
165,90916,1433,424,2714,0.135118,0.984483,0.995358,0.984483,0.004642,0.989891,0.95657,1.02918,0.777777
166,90915,1434,424,2714,0.135118,0.984472,0.995358,0.984472,0.004642,0.989885,0.95656,1.02918,0.794117
167,90914,1435,424,2714,0.135118,0.984461,0.995358,0.984461,0.004642,0.98988,0.956549,1.02918,0.799998
168,90899,1450,419,2719,0.133525,0.984299,0.995412,0.984299,0.004588,0.989824,0.95634,1.029236,0.799998
169,90880,1469,406,2732,0.129382,0.984093,0.995552,0.984093,0.004448,0.98979,0.956004,1.029381,0.799999
170,90879,1470,406,2732,0.129382,0.984082,0.995552,0.984082,0.004448,0.989784,0.955994,1.029381,0.822222
171,90878,1471,406,2732,0.129382,0.984071,0.995552,0.984071,0.004448,0.989779,0.955984,1.029381,0.833332
172,90871,1478,406,2732,0.129382,0.983995,0.995552,0.983995,0.004448,0.98974,0.95591,1.029381,0.833332
173,90863,1486,404,2734,0.128744,0.983909,0.995573,0.983909,0.004427,0.989707,0.955806,1.029403,0.857142
