@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
87,3138,0,91146,1137,0.987679,1,0.033282,1,0.966718,0.064421,0.988084,1.012059,0.000017
88,3138,0,91143,1140,0.987647,1,0.033283,1,0.966717,0.064423,0.988053,1.012092,0.000017
89,3138,0,91142,1141,0.987636,1,0.033284,1,0.966716,0.064423,0.988042,1.012102,0.000017
90,3138,0,91127,1156,0.987473,1,0.033289,1,0.966711,0.064433,0.987885,1.012263,0.000017
91,3138,0,91097,1186,0.987148,1,0.0333,1,0.9667,0.064453,0.987571,1.012586,0.000017
92,3138,0,91094,1189,0.987116,1,0.033301,1,0.966699,0.064455,0.987539,1.012618,0.000017
93,3138,0,91088,1195,0.987051,1,0.033303,1,0.966697,0.064459,0.987477,1.012682,0.000018
94,3138,0,91043,1240,0.986563,1,0.033319,1,0.966681,0.064489,0.987005,1.013166,0.000018
95,3138,0,91012,1271,0.986227,1,0.03333,1,0.96667,0.064509,0.98668,1.0135,0.000018
96,3138,0,91011,1272,0.986216,1,0.03333,1,0.96667,0.06451,0.98667,1.01351,0.000018
97,3138,0,90997,1286,0.986065,1,0.033335,1,0.966665,0.064519,0.986523,1.013661,0.000019
98,3138,0,90952,1331,0.985577,1,0.033351,1,0.966649,0.064549,0.986051,1.014146,0.000019
99,3138,0,90951,1332,0.985566,1,0.033351,1,0.966649,0.06455,0.986041,1.014157,0.000019
100,3138,0,90940,1343,0.985447,1,0.033355,1,0.966645,0.064557,0.985926,1.014275,0.000019
101,3138,0,90933,1350,0.985371,1,0.033358,1,0.966642,0.064562,0.985852,1.014351,0.00002
102,3138,0,90884,1399,0.98484,1,0.033375,1,0.966625,0.064594,0.985339,1.014879,0.00002
103,3138,0,90820,1463,0.984147,1,0.033398,1,0.966602,0.064637,0.984668,1.015571,0.00002
104,3138,0,90817,1466,0.984114,1,0.033399,1,0.966601,0.064639,0.984637,1.015603,0.00002
105,3138,0,90799,1484,0.983919,1,0.033405,1,0.966595,0.064651,0.984448,1.015798,0.00002
106,3138,0,90798,1485,0.983908,1,0.033406,1,0.966594,0.064652,0.984437,1.015809,0.00002
107,3138,0,90795,1488,0.983876,1,0.033407,1,0.966593,0.064654,0.984406,1.015841,0.000021
108,3138,0,90794,1489,0.983865,1,0.033407,1,0.966593,0.064654,0.984395,1.015852,0.000021
109,3138,0,90793,1490,0.983854,1,0.033408,1,0.966592,0.064655,0.984385,1.015863,0.000021
110,3138,0,90792,1491,0.983843,1,0.033408,1,0.966592,0.064656,0.984375,1.015874,0.000021
111,3138,0,90791,1492,0.983832,1,0.033408,1,0.966592,0.064656,0.984364,1.015884,0.000021
112,3138,0,90790,1493,0.983822,1,0.033409,1,0.966591,0.064657,0.984354,1.015895,0.000021
113,3138,0,90785,1498,0.983767,1,0.03341,1,0.96659,0.06466,0.984301,1.015949,0.000021
114,3138,0,90783,1500,0.983746,1,0.033411,1,0.966589,0.064662,0.98428,1.015971,0.000021
115,3138,0,90780,1503,0.983713,1,0.033412,1,0.966588,0.064664,0.984249,1.016003,0.000021
116,3138,0,90776,1507,0.98367,1,0.033414,1,0.966586,0.064666,0.984207,1.016047,0.000021
117,3138,0,90775,1508,0.983659,1,0.033414,1,0.966586,0.064667,0.984196,1.016057,0.000021
118,3138,0,90772,1511,0.983626,1,0.033415,1,0.966585,0.064669,0.984165,1.01609,0.000022
119,3138,0,90770,1513,0.983605,1,0.033416,1,0.966584,0.06467,0.984144,1.016112,0.000022
120,3138,0,90768,1515,0.983583,1,0.033416,1,0.966584,0.064672,0.984123,1.016133,0.000022
