@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
165,92237,46,1900,1238,0.605481,0.999502,0.979817,0.999502,0.020183,0.989561,0.986544,1.013134,0.112069
166,92236,47,1900,1238,0.605481,0.999491,0.979816,0.999491,0.020184,0.989556,0.986533,1.013134,0.113537
167,92236,47,1899,1239,0.605163,0.999491,0.979827,0.999491,0.020173,0.989561,0.986523,1.013145,0.113636
168,92236,47,1898,1240,0.604844,0.999491,0.979837,0.999491,0.020163,0.989566,0.986512,1.013156,0.114155
169,92236,47,1897,1241,0.604525,0.999491,0.979848,0.999491,0.020152,0.989572,0.986502,1.013166,0.114286
170,92236,47,1896,1242,0.604207,0.999491,0.979858,0.999491,0.020142,0.989577,0.986491,1.013177,0.114286
171,92236,47,1895,1243,0.603888,0.999491,0.979868,0.999491,0.020132,0.989582,0.986481,1.013188,0.114894
172,92235,48,1895,1243,0.603888,0.99948,0.979868,0.99948,0.020132,0.989577,0.98647,1.013188,0.115385
173,92235,48,1893,1245,0.60325,0.99948,0.979889,0.99948,0.020111,0.989588,0.98645,1.013209,0.115556
174,92234,49,1893,1245,0.60325,0.999469,0.979889,0.999469,0.020111,0.989582,0.986439,1.013209,0.11588
175,92233,50,1892,1246,0.602932,0.999458,0.979899,0.999458,0.020101,0.989582,0.986418,1.01322,0.116505
176,92233,50,1891,1247,0.602613,0.999458,0.979909,0.999458,0.020091,0.989587,0.986408,1.01323,0.116883
177,92233,50,1889,1249,0.601976,0.999458,0.97993,0.999458,0.02007,0.989598,0.986387,1.013252,0.117647
178,92233,50,1888,1250,0.601657,0.999458,0.979941,0.999458,0.020059,0.989603,0.986376,1.013263,0.117647
179,92231,52,1884,1254,0.600382,0.999437,0.979982,0.999437,0.020018,0.989614,0.986313,1.013305,0.117648
180,92230,53,1881,1257,0.599426,0.999426,0.980013,0.999426,0.019987,0.989624,0.986271,1.013337,0.117904
181,92230,53,1879,1259,0.598789,0.999426,0.980034,0.999426,0.019966,0.989635,0.98625,1.013359,0.117904
182,92230,53,1878,1260,0.59847,0.999426,0.980044,0.999426,0.019956,0.98964,0.98624,1.01337,0.118144
183,92230,53,1877,1261,0.598152,0.999426,0.980055,0.999426,0.019945,0.989645,0.986229,1.01338,0.119149
184,92230,53,1876,1262,0.597833,0.999426,0.980065,0.999426,0.019935,0.989651,0.986219,1.013391,0.119658
185,92230,53,1875,1263,0.597514,0.999426,0.980075,0.999426,0.019925,0.989656,0.986208,1.013402,0.12
186,92230,53,1874,1264,0.597196,0.999426,0.980086,0.999426,0.019914,0.989661,0.986198,1.013413,0.120141
